Generating SQLite file rep_r0.sqlite from rep_r0.nsys-rep
Processing [rep_r0.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
6.1,75868704,204,371905.4,121264.0,48480,22987872,1981617.9,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
6.0,74798329,32,2337447.8,2337296.0,2328224,2343328,3846.5,loop_divide_negate_subtract_fusion
3.9,48667284,32,1520852.6,1520847.0,1520544,1521312,179.6,loop_concatenate_fusion_1
3.4,42189852,12,3515821.0,3513872.0,3512576,3538111,7075.4,loop_concatenate_fusion_11
3.2,40106547,32,1253329.6,1253375.5,1251360,1255551,1143.3,input_concatenate_fusion_2
3.0,36981947,32,1155685.8,1155711.5,1154720,1156832,579.8,input_concatenate_fusion_4
2.6,33114175,12,2759514.6,2756928.0,2755808,2787840,8954.1,loop_add_subtract_fusion
2.4,29676402,32,927387.6,927231.0,926240,929056,661.4,loop_add_divide_fusion
2.2,27502197,32,859443.7,859359.5,857983,862687,890.7,loop_negate_fusion
2.1,26923615,32,841363.0,841216.0,839904,844064,957.3,loop_slice_fusion
2.1,26817535,12,2234794.6,2234783.5,2230048,2240096,2712.2,loop_divide_negate_subtract_fusion_1
1.9,23862068,32,745689.6,745680.0,744352,747167,764.2,loop_multiply_fusion_3
1.9,23599640,12,1966636.7,1966255.0,1960735,1976160,4524.1,loop_add_divide_fusion_2
1.8,22424953,12,1868746.1,1868447.5,1858047,1883584,8004.4,loop_add_multiply_fusion_1
1.8,22055374,56,393846.0,394783.5,387328,397856,2777.5,loop_add_fusion_29
1.6,20364283,12,1697023.6,1696431.5,1684448,1714719,8285.1,loop_dynamic_update_slice_fusion_217
1.6,20281693,12,1690141.1,1697632.0,1654080,1704832,16299.3,loop_dynamic_update_slice_fusion_218
1.6,20274490,24,844770.4,844384.0,842335,850815,1729.7,loop_slice_fusion_2
1.6,19990590,12,1665882.5,1666096.0,1663935,1667712,1504.4,loop_concatenate_fusion_10
1.6,19902937,44,452339.5,452320.0,450816,453760,617.9,input_concatenate_fusion_30
1.4,17002008,32,531312.8,531360.0,529823,532416,585.3,input_concatenate_fusion_6
1.3,16851346,32,526604.6,525631.0,522720,535936,3163.1,loop_add_fusion_3
1.3,16796860,12,1399738.3,1399952.0,1397791,1401087,950.7,input_concatenate_fusion_19
1.3,15810960,44,359340.0,359007.5,357824,361984,1360.4,input_concatenate_fusion_39
1.2,15311104,32,478472.0,478656.0,477184,480192,799.3,loop_add_fusion
1.2,15093339,32,471666.8,471760.0,469984,473600,715.3,input_concatenate_fusion_11
1.2,14959004,32,467468.9,467472.0,466496,468832,523.7,input_concatenate_fusion_8
1.2,14868077,32,464627.4,463631.5,457695,472255,4075.3,loop_add_multiply_fusion
1.2,14843155,32,463848.6,463999.0,462688,464832,674.2,input_concatenate_fusion_7
1.2,14425717,32,450803.7,450719.0,449728,451584,573.9,input_concatenate_fusion_9
1.1,13783416,32,430731.8,430975.5,425568,436224,2645.1,loop_divide_subtract_fusion
1.1,13778269,12,1148189.1,1147216.0,1146304,1159808,3694.8,input_concatenate_fusion_21
1.0,13065402,12,1088783.5,1088271.5,1087039,1093728,1818.6,loop_multiply_slice_subtract_fusion
1.0,12855002,12,1071250.2,1071199.0,1071104,1071456,128.4,loop_concatenate_fusion_6
1.0,12743541,24,530980.9,531824.0,527968,535423,2151.1,input_concatenate_fusion_23
1.0,12533723,12,1044476.9,1044495.5,1043360,1046208,742.1,loop_negate_fusion_1
1.0,12124683,32,378896.3,378911.0,377472,380703,821.8,loop_add_fusion_2
0.9,11904573,12,992047.8,988256.0,980543,1025408,12967.9,loop_add_fusion_16
0.9,11173689,12,931140.8,931007.0,929952,932511,873.4,input_concatenate_fusion_33
0.9,10746204,12,895517.0,895264.0,894112,899392,1403.9,loop_add_negate_fusion
0.8,10527773,12,877314.4,877695.5,865152,883743,4699.8,loop_add_multiply_fusion_2
0.8,10303320,32,321978.8,322128.0,318399,325760,1672.0,loop_multiply_fusion
0.8,9768379,12,814031.6,812847.0,809184,824191,4451.3,loop_broadcast_multiply_fusion
0.8,9460341,32,295635.7,295695.0,294688,296320,344.9,loop_multiply_fusion_1
0.7,9024414,12,752034.5,752031.5,750176,756192,1562.9,loop_concatenate_fusion_9
0.7,8733547,44,198489.7,198495.5,197759,199455,336.1,loop_add_fusion_13
0.7,8548187,12,712348.9,712239.5,710464,714656,1167.5,input_concatenate_fusion_28
0.7,8482036,32,265063.6,265087.0,264000,266144,416.7,loop_divide_fusion
0.7,8403135,12,700261.3,700255.5,699680,700928,372.4,loop_add_divide_fusion_1
0.6,8130428,16,508151.8,508063.5,507808,509280,365.9,loop_concatenate_fusion_7
0.6,8016221,12,668018.4,667280.0,664672,672960,2537.2,loop_multiply_fusion_8
0.6,8015037,12,667919.8,667936.0,665376,670015,1321.0,loop_multiply_fusion_7
0.6,7384378,12,615364.8,615023.5,614432,617472,881.8,input_concatenate_fusion_34
0.5,6864281,12,572023.4,571615.5,568543,576607,2689.0,loop_dynamic_update_slice_fusion_216
0.5,6092800,12,507733.3,507632.0,507456,508096,236.5,loop_add_fusion_9
0.5,6021268,32,188164.6,188223.5,187360,188735,335.5,loop_concatenate_fusion_2
0.5,5955800,24,248158.3,248287.5,244063,252063,3027.1,loop_multiply_fusion_6
0.5,5678523,12,473210.3,473295.0,469280,477856,3252.6,loop_add_fusion_12
0.4,5357056,12,446421.3,446544.0,443136,449568,2034.7,loop_add_fusion_10
0.4,4769565,12,397463.8,397439.5,396256,398784,616.4,loop_multiply_fusion_9
0.4,4733529,12,394460.8,394543.0,393791,395168,433.3,input_concatenate_fusion_32
0.4,4687264,12,390605.3,390464.0,389824,392480,706.6,loop_add_fusion_15
0.4,4461116,12,371759.7,372015.5,370687,372352,560.0,loop_concatenate_fusion_4
0.3,4229980,12,352498.3,352895.5,347680,357888,3645.5,loop_add_fusion_17
0.3,3660574,12,305047.8,305279.5,304256,305600,491.1,loop_add_fusion_18
0.3,3558105,12,296508.8,296431.5,295712,297600,583.8,input_concatenate_fusion_24
0.3,3534300,12,294525.0,294639.0,293568,295008,399.8,input_concatenate_fusion_27
0.3,3485952,148,23553.7,23504.0,22912,24800,450.6,loop_pad_fusion_7
0.3,3399454,4,849863.5,849375.5,848384,852319,1702.6,loop_concatenate_fusion_16
0.3,3371007,4,842751.8,842560.0,840416,845471,2247.5,loop_add_fusion_30
0.3,3335229,4,833807.3,833743.0,833343,834400,491.0,input_concatenate_fusion_55
0.3,3260284,12,271690.3,271519.5,270880,272640,627.2,loop_add_multiply_fusion_3
0.3,3252510,4,813127.5,824352.0,778015,825791,23427.3,loop_add_divide_slice_fusion
0.3,3221690,12,268474.2,268399.5,267584,269472,761.0,input_concatenate_fusion_40
0.2,3103024,32,96969.5,96991.5,96288,97952,361.7,loop_subtract_fusion
0.2,3043776,24,126824.0,126800.0,126528,127328,189.5,input_concatenate_fusion_42
0.2,2816186,12,234682.2,234735.5,233568,235903,865.4,input_concatenate_fusion_41
0.2,2783104,4,695776.0,685072.0,681760,731200,23667.7,loop_add_slice_fusion
0.2,2690687,4,672671.8,672720.0,671743,673504,868.1,loop_dynamic_update_slice_fusion_266
0.2,2585439,4,646359.8,647312.0,640416,650399,4273.5,loop_add_compare_fusion
0.2,2584440,12,215370.0,215327.5,215136,216128,258.4,input_concatenate_fusion_31
0.2,2579645,12,214970.4,214975.5,213984,216031,636.4,loop_dynamic_update_slice_fusion_46
0.2,2407104,4,601776.0,601616.0,601024,602848,791.9,loop_add_select_fusion
0.2,2240633,12,186719.4,186736.0,186015,187167,363.2,loop_concatenate_fusion_12
0.2,2182829,36,60634.1,60352.0,58976,62207,933.3,loop_pad_fusion_15
0.2,2092672,4,523168.0,523264.0,522688,523456,357.3,loop_add_maximum_minimum_fusion
0.2,2039200,4,509800.0,509136.0,508160,512768,2032.5,loop_pad_fusion_20
0.2,1975904,4,493976.0,493808.0,493600,494688,489.1,loop_broadcast_fusion_29
0.2,1960126,4,490031.5,490095.5,489248,490687,764.1,loop_pad_fusion_23
0.2,1912768,12,159397.3,159488.0,158720,160128,500.6,input_concatenate_fusion_29
0.1,1798521,12,149876.8,150031.0,148928,150240,380.4,input_concatenate_fusion_38
0.1,1693279,4,423319.8,423472.0,421983,424352,1035.8,loop_multiply_fusion_13
0.1,1691641,12,140970.1,140815.5,140607,141888,429.8,input_concatenate_fusion_36
0.1,1689946,12,140828.8,140895.0,140064,141696,560.7,input_concatenate_fusion_37
0.1,1684734,12,140394.5,140096.0,139808,141120,549.6,input_concatenate_fusion_35
0.1,1668448,36,46345.8,46240.0,45984,47200,325.8,loop_pad_fusion_10
0.1,1588544,4,397136.0,397152.0,396640,397600,393.2,wrapped_slice
0.1,1478428,12,123202.3,123120.0,122368,124511,651.4,loop_add_fusion_11
0.1,1447549,4,361887.3,361791.5,361503,362463,410.5,loop_add_subtract_fusion_1
0.1,1375613,4,343903.3,343855.5,342943,344959,827.5,input_concatenate_fusion_49
0.1,1368017,296,4621.7,4544.0,4096,6208,337.1,input_scatter_fusion_207
0.1,1368000,4,342000.0,341840.0,341408,342912,651.9,input_concatenate_fusion_50
0.1,1331840,148,8998.9,8928.0,8448,10752,330.4,input_scatter_fusion_211
0.1,1266236,12,105519.7,105471.5,104448,107072,786.9,loop_divide_subtract_fusion_2
0.1,1248480,148,8435.7,8416.0,7488,10048,518.8,wrapped_scatter
0.1,1247805,4,311951.3,311695.0,311455,312960,683.1,loop_add_reduce_fusion
0.1,1222846,4,305711.5,300351.5,279488,342655,31089.7,loop_add_fusion_31
0.1,1162142,12,96845.2,96640.0,96224,97824,511.2,loop_subtract_fusion_1
0.1,1159871,4,289967.8,289631.5,289504,291104,760.3,loop_add_fusion_32
0.1,1156031,4,289007.8,289055.5,288800,289120,141.8,input_concatenate_fusion_53
0.1,1148736,148,7761.7,7488.0,6976,9120,588.3,wrapped_gather
0.1,1148383,4,287095.8,286607.5,286176,288992,1285.9,loop_divide_slice_fusion
0.1,1134079,148,7662.7,7712.0,6240,8640,436.4,input_scatter_fusion_215
0.1,1032768,4,258192.0,257840.0,257600,259488,872.3,input_concatenate_fusion_54
0.1,988798,8,123599.8,123855.5,122720,124384,673.3,loop_add_fusion_34
0.1,942397,4,235599.3,235263.5,234879,236991,945.4,loop_add_fusion_33
0.1,791552,4,197888.0,197776.0,197760,198240,235.2,loop_broadcast_fusion_27
0.1,783806,12,65317.2,65103.5,64288,66752,774.4,loop_negate_select_fusion
0.1,736219,12,61351.6,61375.5,60511,61951,495.5,loop_add_fusion_14
0.0,623135,148,4210.4,4192.0,3648,5312,247.4,input_scatter_fusion_214
0.0,616218,148,4163.6,4160.0,3680,4864,198.6,input_scatter_fusion_217
0.0,565566,4,141391.5,141231.5,141087,142016,423.7,input_concatenate_fusion_52
0.0,544411,148,3678.5,3616.0,3360,4320,234.3,input_scatter_fusion_210
0.0,538330,72,7476.8,7263.5,6528,9088,697.1,input_scatter_fusion_259
0.0,526431,4,131607.8,131568.0,131103,132192,553.6,loop_slice_fusion_5
0.0,517373,12,43114.4,43215.5,42304,43456,313.2,loop_dynamic_update_slice_fusion_185
0.0,509568,36,14154.7,13312.0,12992,16320,1292.5,input_scatter_fusion_263
0.0,503744,4,125936.0,125984.0,125408,126368,474.3,loop_compare_multiply_fusion
0.0,487808,36,13550.2,13552.0,12640,14496,508.9,wrapped_scatter_1
0.0,480096,296,1621.9,1632.0,1248,2080,166.2,input_scatter_fusion_204
0.0,477312,32,14916.0,14848.0,14624,16288,288.3,loop_concatenate_fusion
0.0,466462,12,38871.8,38623.5,38304,39776,565.8,loop_dynamic_update_slice_fusion_195
0.0,463544,36,12876.2,12831.0,12288,13824,370.8,wrapped_gather_1
0.0,463232,36,12867.6,12832.0,12384,14016,352.1,input_scatter_fusion_253
0.0,458911,12,38242.6,38367.5,37472,39232,591.5,loop_dynamic_update_slice_fusion_200
0.0,457820,12,38151.7,38144.0,37567,38880,394.6,loop_dynamic_update_slice_fusion_184
0.0,450816,12,37568.0,37520.0,37504,37824,103.9,loop_pad_fusion_3
0.0,436671,148,2950.5,2880.0,2656,4032,237.6,input_scatter_fusion_206
0.0,426269,12,35522.4,35631.5,34784,36064,411.8,loop_dynamic_update_slice_fusion_191
0.0,425277,12,35439.8,35696.0,33951,36032,605.3,loop_dynamic_update_slice_fusion_196
0.0,422461,148,2854.5,2816.0,2496,3488,153.2,input_scatter_fusion_216
0.0,419839,12,34986.6,35040.0,34464,35999,435.2,loop_dynamic_update_slice_fusion_213
0.0,411808,12,34317.3,34304.0,33472,35328,539.9,loop_dynamic_update_slice_fusion_222
0.0,405952,12,33829.3,33792.0,33728,33984,92.4,loop_broadcast_fusion_7
0.0,398688,4,99672.0,99696.0,99520,99776,115.0,loop_broadcast_fusion_31
0.0,389596,12,32466.3,32575.5,30912,33663,709.2,loop_dynamic_update_slice_fusion_209
0.0,383424,148,2590.7,2592.0,2144,2912,137.8,input_scatter_fusion_213
0.0,368704,12,30725.3,30608.0,29344,32224,970.1,loop_dynamic_update_slice_fusion_214
0.0,360512,12,30042.7,30096.0,28800,31488,774.0,loop_dynamic_update_slice_fusion_219
0.0,359872,12,29989.3,29984.0,29568,30592,302.9,loop_dynamic_update_slice_fusion_197
0.0,350430,4,87607.5,87887.5,86624,88031,659.3,wrapped_divide
0.0,350300,4,87575.0,87839.0,86719,87903,572.1,loop_divide_fusion_1
0.0,339616,32,10613.0,10784.0,9984,11040,346.6,loop_select_fusion
0.0,338400,12,28200.0,28112.0,27296,28992,612.1,loop_dynamic_update_slice_fusion_206
0.0,333856,12,27821.3,27728.0,26752,28928,627.4,loop_dynamic_update_slice_fusion_215
0.0,331616,12,27634.7,27712.0,26816,28448,510.8,loop_dynamic_update_slice_fusion_202
0.0,318784,12,26565.3,26400.0,25664,27776,573.7,loop_dynamic_update_slice_fusion_201
0.0,318336,12,26528.0,26528.0,25824,27488,528.3,loop_dynamic_update_slice_fusion_190
0.0,311839,12,25986.6,25760.0,25440,27008,533.0,loop_dynamic_update_slice_fusion_208
0.0,306303,12,25525.3,25584.0,24672,26272,542.7,loop_dynamic_update_slice_fusion_210
0.0,300000,12,25000.0,24912.0,24416,25664,346.3,loop_dynamic_update_slice_fusion_192
0.0,285855,148,1931.5,1888.0,1664,3616,264.7,input_scatter_fusion_205
0.0,267488,148,1807.4,1792.0,1600,3200,157.2,wrapped_gather_3
0.0,258656,148,1747.7,1696.0,1312,3232,238.7,input_scatter_fusion_185
0.0,254208,148,1717.6,1696.0,1376,2112,113.7,input_scatter_fusion_178
0.0,254176,148,1717.4,1696.0,1312,2272,149.3,input_scatter_fusion_177
0.0,251008,148,1696.0,1664.0,1504,2016,110.3,input_scatter_fusion_179
0.0,246752,148,1667.2,1664.0,1248,2368,199.8,input_scatter_fusion_212
0.0,244768,148,1653.8,1632.0,1280,2080,115.7,input_scatter_fusion_183
0.0,244064,148,1649.1,1632.0,1376,2240,167.8,input_scatter_fusion_181
