Generating SQLite file rep_r0.sqlite from rep_r0.nsys-rep
Processing [rep_r0.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
6.3,74717399,32,2334918.7,2335151.5,2324832,2343776,4234.9,loop_divide_negate_subtract_fusion
4.1,48669167,32,1520911.5,1520848.0,1520607,1521503,244.5,loop_concatenate_fusion_1
3.6,42216896,12,3518074.7,3516768.0,3514016,3525344,3731.2,loop_concatenate_fusion_11
3.4,40182739,32,1255710.6,1256543.5,1250016,1262879,3777.2,input_concatenate_fusion_2
3.1,37178494,32,1161827.9,1161456.0,1159872,1168096,1603.1,input_concatenate_fusion_4
2.8,33167579,12,2763964.9,2763087.0,2761600,2768448,2266.5,loop_add_subtract_fusion
2.5,29677073,32,927408.5,927199.0,926272,931872,1080.2,loop_add_divide_fusion
2.4,28097007,32,878031.5,877983.0,876320,880255,1105.2,loop_slice_fusion
2.3,27536526,32,860516.4,860495.0,859263,862271,640.7,loop_negate_fusion
2.3,26801408,12,2233450.7,2234064.0,2228352,2237088,2888.7,loop_divide_negate_subtract_fusion_1
2.0,23924571,32,747642.8,747600.0,745759,749856,952.9,loop_multiply_fusion_3
2.0,23689788,12,1974149.0,1974111.5,1970528,1977728,2237.2,loop_add_divide_fusion_2
1.9,22394586,12,1866215.5,1875344.0,1772255,1883295,29920.1,loop_add_multiply_fusion_1
1.9,21983140,56,392556.1,393295.5,387039,397631,2656.2,loop_add_fusion_29
1.8,21128854,24,880368.9,880383.5,878687,881919,888.8,loop_slice_fusion_2
1.7,20342272,12,1695189.3,1695280.0,1682240,1702752,6278.3,loop_dynamic_update_slice_fusion_217
1.7,20319003,12,1693250.3,1693744.0,1682176,1705183,7822.5,loop_dynamic_update_slice_fusion_218
1.7,20002621,12,1666885.1,1666719.5,1663167,1669568,1980.0,loop_concatenate_fusion_10
1.7,19978354,44,454053.5,453824.0,452640,457151,1088.8,input_concatenate_fusion_30
1.4,16956406,32,529887.7,529904.0,528864,531135,559.1,input_concatenate_fusion_6
1.4,16877586,32,527424.6,527599.0,520447,533024,2561.1,loop_add_fusion_3
1.4,16811836,12,1400986.3,1401135.5,1396351,1405376,4196.3,input_concatenate_fusion_19
1.3,15817201,44,359481.8,359295.5,357728,361920,1252.1,input_concatenate_fusion_39
1.3,15318016,32,478688.0,478704.0,477152,479872,707.8,loop_add_fusion
1.3,15100275,32,471883.6,471887.5,470463,474879,804.0,input_concatenate_fusion_11
1.3,14953009,32,467281.5,467360.0,465919,468544,651.2,input_concatenate_fusion_8
1.3,14890061,32,465314.4,464416.0,458655,476703,4762.3,loop_add_multiply_fusion
1.3,14840880,32,463777.5,464032.0,462720,464832,668.4,input_concatenate_fusion_7
1.2,14436370,32,451136.6,451296.0,449952,452799,727.8,input_concatenate_fusion_9
1.2,13855391,12,1154615.9,1154592.0,1153824,1155872,637.0,input_concatenate_fusion_21
1.2,13812210,32,431631.6,431568.0,427359,437536,2592.5,loop_divide_subtract_fusion
1.1,13069112,12,1089092.7,1089055.0,1088224,1089983,598.7,loop_multiply_slice_subtract_fusion
1.1,12855320,12,1071276.7,1071263.5,1071039,1071743,183.7,loop_concatenate_fusion_6
1.1,12835253,24,534802.2,535215.5,533152,536512,1266.7,input_concatenate_fusion_23
1.1,12545725,12,1045477.1,1045775.5,1043551,1046784,1058.2,loop_negate_fusion_1
1.0,12121842,32,378807.6,378879.5,377087,381631,1018.8,loop_add_fusion_2
1.0,11759839,12,979986.6,979664.0,974432,983424,2561.1,loop_add_fusion_16
0.9,11198556,12,933213.0,933136.0,932000,934112,710.9,input_concatenate_fusion_33
0.9,10792569,12,899380.8,899263.0,897311,902271,1568.7,loop_add_negate_fusion
0.9,10530971,12,877580.9,877456.0,873471,881599,2418.6,loop_add_multiply_fusion_2
0.9,10239865,32,319995.8,319999.5,315520,323552,1520.2,loop_multiply_fusion
0.8,9729982,12,810831.8,810416.0,804704,817664,3743.6,loop_broadcast_multiply_fusion
0.8,9460949,32,295654.7,295600.0,294944,296575,433.6,loop_multiply_fusion_1
0.8,9035326,12,752943.8,752592.0,751360,755456,1383.6,loop_concatenate_fusion_9
0.7,8696784,44,197654.2,197632.0,196928,198496,363.8,loop_add_fusion_13
0.7,8553916,12,712826.3,712942.5,712160,713568,455.9,input_concatenate_fusion_28
0.7,8480750,32,265023.4,265088.0,264096,265919,529.4,loop_divide_fusion
0.7,8403706,12,700308.8,700320.0,699647,701023,383.9,loop_add_divide_fusion_1
0.7,8130520,16,508157.5,508111.0,507776,508640,257.4,loop_concatenate_fusion_7
0.7,8056348,12,671362.3,671472.0,664256,676832,3376.7,loop_multiply_fusion_7
0.7,8054873,12,671239.4,671247.5,667839,673728,1715.6,loop_multiply_fusion_8
0.6,7390366,12,615863.8,615680.0,614720,617760,828.2,input_concatenate_fusion_34
0.6,6849306,12,570775.5,570191.0,568160,574432,1950.7,loop_dynamic_update_slice_fusion_216
0.5,6096320,12,508026.7,508048.0,507584,508320,217.0,loop_add_fusion_9
0.5,6010773,32,187836.7,187727.5,187136,190528,661.6,loop_concatenate_fusion_2
0.5,5957525,24,248230.2,248271.0,243904,251839,3204.8,loop_multiply_fusion_6
0.5,5654045,12,471170.4,472079.5,463872,475743,3827.7,loop_add_fusion_12
0.5,5347744,12,445645.3,446016.0,441760,447296,1643.2,loop_add_fusion_10
0.4,4767328,12,397277.3,397200.0,397024,397632,211.6,loop_multiply_fusion_9
0.4,4734807,12,394567.3,394367.0,394112,395616,434.3,input_concatenate_fusion_32
0.4,4687388,12,390615.7,390576.0,389888,392224,615.9,loop_add_fusion_15
0.4,4487868,12,373989.0,374208.0,372863,374559,548.6,loop_concatenate_fusion_4
0.4,4226587,12,352215.6,351919.5,347615,358272,3158.7,loop_add_fusion_17
0.3,3662489,12,305207.4,305055.0,304512,306303,513.0,loop_add_fusion_18
0.3,3559578,12,296631.5,296703.5,295424,297279,494.9,input_concatenate_fusion_24
0.3,3534015,12,294501.3,294528.0,293472,295008,375.9,input_concatenate_fusion_27
0.3,3495551,148,23618.6,23552.0,22944,24768,406.6,loop_pad_fusion_7
0.3,3397310,4,849327.5,849328.0,846591,852063,2429.0,loop_concatenate_fusion_16
0.3,3371486,4,842871.5,842383.5,840447,846272,2570.4,loop_add_fusion_30
0.3,3363455,4,840863.8,841488.0,838431,842048,1654.8,input_concatenate_fusion_55
0.3,3269466,12,272455.5,272543.0,271295,272895,437.3,loop_add_multiply_fusion_3
0.3,3225151,12,268762.6,268880.0,267744,269728,718.8,input_concatenate_fusion_40
0.3,3202046,4,800511.5,794703.5,779807,832832,23958.3,loop_add_divide_slice_fusion
0.3,3122516,32,97578.6,97520.0,96448,99072,612.6,loop_subtract_fusion
0.3,3050368,24,127098.7,127024.0,126720,127776,345.8,input_concatenate_fusion_42
0.2,2809244,12,234103.7,233888.0,233567,235327,566.5,input_concatenate_fusion_41
0.2,2729920,4,682480.0,683120.0,679648,684032,1983.7,loop_add_slice_fusion
0.2,2682815,4,670703.8,670559.5,669728,671968,973.1,loop_dynamic_update_slice_fusion_266
0.2,2588636,12,215719.7,215616.0,215391,216448,337.5,input_concatenate_fusion_31
0.2,2584864,4,646216.0,647440.0,640448,649536,4102.2,loop_add_compare_fusion
